Season,Episode,Title,Airdate,Synopsis,Director,Writers
10,5,The Namesake,"October 30, 2012.","A Petty Officer is found dead in the car of a millionaire, prompting the NCIS team to investigate while Gibbs is stunned when he meets an old friend of his father.",Arvin Brown,George Schenck & Frank Cardea
10,6,Shell Shock Part 1,"November 13, 2012.","A Lieutenant in the Marine Corps who recently returned home from the Middle East is found dead after being brutally attacked and beaten, prompting the NCIS team to investigate the circumstances surrounding the Marine's death but the team soon discover that all is not what it seems and that one suspect could be linked to a terrorist group.",Leslie Libman,Nicole Mirante-Matthews
10,7,Shell Shock Part 2,"November 20, 2012.","In the aftermath of discovering that one of their suspects is associated with a terrorist group based in Afghanistan, the NCIS team continue searching for new leads while Gibbs works with a Marine Captain suffering from PTSD in order to help them locate and stop the suspect from launching a potentially devastating terrorist attack, only to learn that the suspect has a partner while with Thanksgiving approaching, Abby's enthusiasm for the NCIS family dinner is growing and Tony is left curious upon learning that Ziva is making special plans for the opera.",Thomas J. Wright,Gina Lucita Monreal
10,8,Gone,"November 27, 2012.","The NCIS team race against the clock when a teenage girl is kidnapped while Abby and Ziva work with the girl's friend who witnessed the kidnapping and the death of her father. As the investigation drags on and with time running out, Gibbs seeks information from a well connected woman who has questionable morals while Tony gets jealous when he learns Ziva is making plans with a mysterious man.","James Whitmore, Jr",Reed Steiner & Scott Williams
10,9,Devil's Trifecta,"December 11, 2012.","A Seaman attempts to kill FBI Agent Tobias Fornell, only for Fornell to kill his assassin in self-defense which prompts the NCIS team at the FBI's request to come and investigate the crime scene but the team are left stunned when they soon discover that a figure from Gibbs and Fornell's past is involved in a separate investigation concerning the discovery and arrest of the person responsible for a series of identity thefts.",Arvin Brown,Steven D. Binder
10,10,You Better Watch Out,"December 18, 2012.","As D.C. prepares to celebrate Christmas, the NCIS team investigate the discovery of a Navy Lieutenant's husband and as they investigate, they discover that the murder could be connected to a potential counterfeiting ring with the team working alongside a Secret Service agent while Tony's father arrives to celebrate Christmas with his son.",Tony Wharmby,George Schenck & Frank Cardea
10,11,Shabbat Shalom,"January 8, 2013.","The NCIS team investigate when the body of a Petty Officer is found by a father and a son duo on a fishing trip but the team soon discover that the supposed ""Petty Officer"" in question is actually a civilian as well as an investigative journalist while Ziva gets a surprise when her estranged father who she hasn't seen in two years secretly arrives in the U.S., prompting Ziva to question her father's true reasons for being in the country in the first place although he insists he's arrived to see Ziva for a Shabbat dinner but tragedy lies in wait, threatening to change the lives of both Ziva and Vance forever.",Dennis Smith,Christopher J. Waild
10,12,Shiva,"January 15, 2013.","Following on the events in the previous episode, the NCIS team struggle to come to terms with the incident that has left both Eli David and Jackie Vance dead and they rally to protect Ziva from any further attacks but she isn't interested in sympathy or even stopping to grieve because there's only one thing she wants more than anything in the entire world and that's revenge.",Arvin Brown,Christopher J. Waild & Gary Glasberg & Scott Williams
10,13,Hit and Run,"January 29, 2013.","The bodies of a Lance Corporal and his civilian girlfriend are discovered in a car that has gone over the edge and the team originally assume that it's nothing more than a tragic accident but it quickly becomes a murder investigation when Ducky determines that the female passenger was dead long before the car ever went over the edge. As the NCIS team investigate the circumstances surrounding the case, Abby finds herself recalling some painful memories of her first case that she investigated as a child in New Orleans.",Dennis Smith,Gary Glasberg & Gina Lucita Monreal
10,14,Canary,"February 5, 2013.","Following a cyber attack on MTAC that resulted in the death of an undercover NCIS agent, the NCIS team attempt to break an infamous hacker who could hold the key to tracking down the most-wanted cyber-terrorist in the world.",Terrence O'Hara,Christopher J. Waild
10,15,Hereafter,"February 19, 2013.","As the NCIS team investigate the death of a Marine who was assigned to Quantico, Vance, still on leave and struggling to come to terms with his wife's tragic death discovers unexpected personal information that leaves him and causes him to question everything he thought he knew about his family and his marriage.",Tony Wharmby,Nicole Mirante-Matthews
10,16,Detour,"February 26, 2013.","The team investigate the death of a Petty Officer who seemingly committed suicide and when Ducky and Jimmy are in the process of bringing the body back to NCIS for an autopsy, they're both kidnapped by a woman and her team who appear to be after the body while upon realizing that the Medical Examiner van hasn't arrived back at NCIS, Gibbs begins to suspect that something sinister may be afoot and that the supposed Petty Officer may not be who he appears to be with the team later launching a rescue operation to save both Ducky and Jimmy before it's too late.",Mario Van Peebles,Steven D. Binder
10,17,Prime Suspect,"March 5, 2013.","A media frenzy surrounding an unidentified criminal prompts Gibbs's barber to question his estranged son's involvement and ask for Gibbs's help in ruling out his son as a prime suspect but the case takes a turn when the team discover that the original killer is dead, leading them to suspect that a copycat may be responsible for the recent killings while Ned Dorneget returns.","James Whitmore, Jr",George Schenck & Frank Cardea
10,18,Seek,"March 19, 2013.","The team investigates the death of a Marine who specialized in K-9 bomb detection who died after being shot in Afghanistan after learning from his wife that the victim sent her a message stating that he feared for his life and as such, Gibbs and McGee along with the victim's dog, Dex, head to Afghanistan to uncover the truth while Vance asks for the team's assistance as he interviews nannies who could look after his children.",Michael Weatherly,Scott Williams
10,19,Squall,"March 26, 2013.","Following the aftermath of a huge storm, the NCIS team head to the U.S.S. Borealis to investigate the death of the ship's doctor with tensions building when McGee discovers that his estranged father was on board during the incident.",Thomas J. Wright,Bill Nuss
10,20,Chasing Ghosts,"April 9, 2013.","When a Navy reservist returns home to find her husband missing and her living room covered in blood, she turns to the NCIS team to find him and bring him home but as the team conduct their investigation, they soon discover all is not what it seems while Tony becomes increasingly concerned for Ziva and believes that she's planning a risky move to avenge her dead father.",Arvin Brown,Nicole Mirante-Matthews
10,21,Berlin,"April 23, 2013.","As the NCIS team investigates the murder of a Mossad officer which occurred in Virginia, Tony and Ziva head to Berlin, Germany instead of Rome, Italy as they attempt to track down leads that could lead Ziva to Ilan Bodnar.",Terrence O'Hara,Scott Williams & Gina Lucita Monreal
10,22,Revenge,"April 30, 2013.","As the NCIS team continue searching for Ilan Bodnar, Tony and Ziva both attempt to come to terms with the physical and psychological wounds sustained from the car accident they were in with Ziva's own search for Bodnar eventually leading her to a final showdown against her former friend.","James Whitmore, Jr",George Schenck & Frank Cardea
10,23,Double Blind,"May 7, 2013.","In the aftermath of Ziva killing Ilan Bodnar who was responsible for the deaths of Eli David and Jackie Vance, NCIS finds itself under investigation from a Department of Homeland Security agent and the consequences that emerge could prove damaging or even life changing for everyone involved, especially Gibbs and his team while the NCIS team investigate when a Petty Officer claims that he's being followed with the team wondering if the Officer's claims are a result of paranoia, tied to national security or something else altogether.",Dennis Smith,Christopher J. Waild & Steven D. Binder
10,24,Damned If You Do,"May 14, 2013.","With Gibbs having been arrested, the Department of Homeland Security's investigation into NCIS grows wider, ultimately placing the future of NCIS and its agents in jeopardy. While the NCIS team suspect that the investigating agent is looking to capitalize on Gibbs's arrest, they soon discover that there's more to the case than originally suspect and they soon find themselves investigating the case concerning a murdered Navy SEAL.",Tony Wharmby,Gary Glasberg
11,1,Whiskey Tango Foxtrot,"September 24, 2013.","Tragedy strikes when an explosion at a hotel in Washington D.C. claims the life of a figure well-known to NCIS. As the NCIS team launch a search to find those responsible for the bombing, a new terrorist group called the Brotherhood of Doubt emerges and their main targets are Gibbs and his former team.",Tony Wharmby,Gary Glasberg
11,2,"Past, Present, and Future","October 1, 2013.","As Gibbs, McGee and the rest of the NCIS team tackle other aspects in the current case while also hunting down wanted terrorist Benham Parsa and Parsa's terrorist group, the Brotherhood of Doubt who have left nothing but a trail of death and destruction in their campaign against Gibbs's team, Tony finds himself heading to Israel in the hope of finding Ziva before it's too late.","James Whitmore, Jr",Gary Glasberg & Scott Williams & Gina Lucita Monreal
11,3,Under the Radar,"October 8, 2013.","After an explosion at a Navy Lieutenant's apartment kills a civilian, the NCIS team search for the missing Lieutenant and soon discover that the Lieutenant who also washed out of flight training is planning on exacting revenge against his former classmates who are on a Navy ship, the classmates in question preparing for their first assignment while McGee struggles to deal with the potential fallout that could occur after realizing that his NCIS credentials have gone missing.",Dennis Smith,George Schenck & Frank Cardea
11,4,Anonymous was a Woman,"October 15, 2013.","When a young woman is found dead, the NCIS team along with Susan Grady investigate but are shocked to discover that the woman who's supposed to be a Marine Sergeant is in fact an impostor and also an immigrant originally from Afghanistan. Gibbs and McGee later travel to Afghanistan to visit a local Afghan woman's shelter that Mike Franks secretly supported for years, only to face harsh resistance from locals.",Terrence O'Hara,Steven D. Binder
11,5,Once a Crook,"October 22, 2013.","As the team investigate the murder of a Petty Officer, Tony who's suffering from sleep deprivation that has been triggered as a result of Ziva's abrupt and permanent departure from the NCIS team soon realizes that the main suspect in the case involving the murder of a Petty Officer could be connected to a fifteen-year-old case that he investigated while working as a cop for the Baltimore Police Department.",Arvin Brown,Christopher Silber
11,6,Oil and Water,"October 29, 2013.","A suspicious explosion on board an oil rig which results in the death of a Marine has NCIS reuniting with the Coast Guard Investigative Service (CGIS), most notably CGIS agent Abigail Borin as they seek to investigate and determine who is responsible for the explosion while the NCIS team find themselves being targeted by a mysterious prankster.",Thomas J. Wright,Jennifer Corbett
11,7,Better Angels,"November 5, 2013.","After Gibbs leaves mid-case to help his father reconnect with a former Luftwaffe pilot, Tony and McGee argue over who should run lead on the team’s investigation into the murder of a Marine Sergeant.",Tony Wharmby,Gina Lucita Monreal
11,8,Alibi,"November 12, 2013.","When a Petty Officer dies in a hit and run while out jogging near Quantico, it seems like an easy case for the NCIS team but things take a turn when a former FBI agent turned lawyer confides in Gibbs that her client, a Navy Petty Officer has a confidential alibi while McGee grows suspicious of Tony's strange behavior.",Holly Dale,George Schenck & Frank Cardea
11,9,Gut Check,"November 19, 2013.","A briefing being held in MTAC is interrupted when it's discovered that SECNAV Sarah Porter has been bugged, sending Gibbs, Tony and McGee on a manhunt to investigate the circumstances of the event with the case soon having issues of national security at stake and even murder while working alongside a young NSA Analyst who predicted two years ago that the security breach would occur.",Dennis Smith,Christopher J. Waild
11,10,Devil's Triad,"December 10, 2013.","The NCIS team investigate when a Marine Corporal is found shot dead and in doing so, discover a connection to the current boyfriend of Gibbs and Fornell's respective ex-wife while NSA Analyst Eleanor Bishop attempts to adjust to joining the NCIS team as a liaison between the NSA and NCIS.",Arvin Brown,Steven D. Binder
11,11,Homesick,"December 17, 2013.","As Washington D.C. gets ready for Christmas, the NCIS team find their holiday plans being put on hold as they investigate when a mysterious illness strikes young children from military families with the disease quickly spreading. As the team race to stop a devastating outbreak, Abby and Jimmy work with the Naval Medical Research Center to determine the strain of illness, all in hopes of delivering a cure before the holidays begin while Vance struggles with forgiveness as his estranged father-in-law makes a surprise visit to his home.",Terrence O'Hara,Scott Williams
11,12,Kill Chain,"January 7, 2014.","As the NCIS team investigate the death of a Petty Officer, they realize that a drone that was recently stolen could be responsible and that the elusive terrorist Benham Parsa may be behind the attack. As the investigation progresses, Gibbs finds himself reuniting with someone from his past while potential tragedy lies in wait for one associate of the NCIS team.","James Whitmore, Jr",Christopher Silber
11,13,Double Back,"January 14, 2014.","In the aftermath of the attack on the Conrad Gala, the NCIS team find the investigation growing intense as they redouble their efforts to find Benham Parsa, a wanted terrorist and the leader of the Brotherhood of Doubt while McGee struggles to come to terms with what's happened to his girlfriend.",Tony Wharmby,Gina Lucita Monreal
11,14,Monsters and Men,"February 4, 2014.","As the NCIS team continue searching for Benham Parsa, the leader of the infamous terrorist group, the Brotherhood of Doubt, they also find themselves investigating the death of Parsa's supposed bodyguard, only for the team to later discover that the body in question is not who it appears to be. Things then turn a turn when Bishop reveals that she has been hunting Parsa ever since her days as an analyst with the NSA which ultimately threatens to jeopardize the entire case but when Parsa launches his final game plan while being held on the USS Wilmington, triggering a crisis, the NCIS team must act quickly or risk losing one of their own forever.",Dennis Smith,Jennifer Corbett
11,15,Bulletproof,"February 25, 2014.","While investigating an abandoned bakery truck that has crashed on a road in downtown D.C., the NCIS team discover stolen merchandise apparently belonging to the United States Marine Corps inside the truck with the crates later revealed to contain body armor. Things later take a turn when Abby's tests reveal the supposedly safe body armor is actually flawed, capable of permanently paralyzing the wearer if they're hit with any gunfire or shrapnel. With the new information, the team's investigation grows more intense as they attempt to find and arrest the mastermind responsible while also ensuring that all the faulty body armor is ultimately all accounted for while Bishop attempts to adjust with being the newest member of the NCIS team and also a Probie.",Leslie Libman,Christopher J. Waild
11,16,Dressed to Kill,"March 4, 2014.","A confrontation in an alleyway between DiNozzo and a man impersonating an officer in the United States Navy leaves the impostor dead. As DiNozzo is grounded to his desk following an IG investigation which will ultimately determine whether or not he acted accordingly in terms of shooting the man dead in self-defense, the rest of the NCIS team tackle the case and soon discover that it may be connected to a high-profile female Senator while Anthony DiNozzo Senior who has returned to Washington D.C. and who witnessed the confrontation and subsequent shooting has a secret to reveal to his son.",Thomas J. Wright,George Schenck & Frank Cardea
11,17,Rock and a Hard Place,"March 18, 2014.","After a bomb detonates in the dressing room at a military charity concert, killing two personnel including a Navy Petty Officer, the NCIS team investigate and need to determine if the target was a washed-up rocker who was successful in the 1980s or if the bomb was part of a much larger scheme while Jimmy Palmer prepares for fatherhood.",Arvin Brown,Steven D. Binder
11,18,Crescent City Part 1,"March 25, 2014.","When the body of a Congressman and former NIS/NCIS agent washes ashore in New Orleans, NCIS Special Agent Dwayne Cassius Pride who is also the leader of the NCIS: New Orleans team arrives in D.C. to ask Gibbs and the NCIS team for help in the case but things change when the two teams working together discover that the FBI are involved, prompting Pride and Gibbs to meet with FBI agent Tobias Fornell but the investigation heightens when it's revealed that the current case may in fact be connected to the arrest of the Privileged Killer, a serial murderer who targeted military and public servants and who Pride and Gibbs helped arrest nearly twenty years ago.","James Whitmore, Jr",Gary Glasberg
11,19,Crescent City Part 2,"April 1, 2014.","As the hunt for the copycat killer of the infamous Privileged Killer continues, Gibbs and Bishop search the city of New Orleans for answers with the help of Special Agent Dwayne Pride and Pride's own team while back in Washington D.C., as Tony receives a present from Bishop, he, McGee and FBI Special Agent Tobias Fornell also continue to track political connections to the case.",Tony Wharmby,Gary Glasberg
11,20,Page Not Found,"April 8, 2014.","After returning to her job at the Department of Defense, McGee's girlfriend Delilah finds a break in a controversial case, prompting her to turn to the NCIS team for help while McGee talks to DiNozzo about whether he should ask Delilah to move in.",Terrence O'Hara,Christopher J. Waild
11,21,Alleged,"April 15, 2014.","After a Navy officer is found dead on a rural road, the NCIS team must ascertain if the murder was the result of a bar fight or because he knew too much about an attack on a fellow female officer while DiNozzo and McGee start a juice cleanse to purge their bodies of impurities.",Arvin Brown,Scott Williams
11,22,Shooter,"April 29, 2014.","When a Marine photographer disappears prior to giving a testimony in an Army court-martial hearing, the NCIS team investigates both the murder he witnessed as well as his current piece on homeless military veterans who are sleeping rough in the D.C. area but things take an intense turn when the photographer is later found dead, having apparently died of a drug overdose. The investigation changes when Ducky later discovers that the victim was unconscious before he was given a lethal injection of drugs, confirming that the victim was murdered and evidence soon emerges, suggesting a human trafficking ring that's secretly operating in the D.C. area is active with the homeless veterans themselves also being used as possible guinea pigs while Abby tries to help a young female teenager who's living on the streets of D.C. reconnect with her family.",Dennis Smith,Frank Cardea & George Schenck
11,23,The Admiral's Daughter,"May 6, 2014.","As the rest of the NCIS team investigate the death of a man whose remains were found in a septic tank, DiNozzo is sent to Marseille, France, having been given the top-secret assignment of bringing home an Admiral's daughter, only to stumble into a possible nightmare when he enters the NCIS office and finds that the NCIS office in Marseille has become a crime scene that has the bodies of seven NCIS personnel. As such, DiNozzo must turn to his team for help after being framed by one of the true killers who will ultimately stop at nothing in silencing both him and Amanda once and for all.","James Whitmore, Jr",Christopher Silber & Steven D. Binder
11,24,Honor Thy Father,"May 13, 2014.","After successfully apprehending a criminal, the NCIS team are then assigned to investigate as to whether a U.S. Navy ship that served as a secret detention site for indicted terrorists was accidental or an intentional diversion for an escape and in doing so, are reunited with an enemy from their past while Gibbs travels to his childhood home of Stillwater after learning that his father has died.",Tony Wharmby,Gary Glasberg & Gina Lucita Monreal
12,1,Twenty Klicks,"September 23, 2014.","Gibbs and McGee head to Moscow, Russian to bring Kevin Hussein who also has access to highly classified information back to the United States, only for the journey to take a disastrous turn when the helicopter they're on is shot down, leaving the three as the only survivors. Now left stranded on the border between Finland and Russia with the area itself also highly dangerous, the trio face a battle for survival as they attempt to avoid a group of mercenaries who are after them, their target being Kevin. Back in the States, the rest of the NCIS team use every contact at their disposal as they race against the clock to find their missing colleagues before it's too late.",Tony Wharmby,Gary Glasberg & Scott Williams
12,2,Kill the Messenger,"September 30, 2014.","When a Navy Lieutenant is killed on his way to a private meeting with the President, the NCIS team must determine if the murder was part of a recent stream of muggings in the area or a targeted hit to keep intelligence secret while Vance attempts to come to terms with an potentially devastating health crisis of his own.",Dennis Smith,Frank Cardea & George Schenck
12,3,So It Goes,"October 7, 2014.","When a man is killed, the NCIS team soon uncover a potential connection to Ducky's estranged childhood best friend. Ducky and Bishop travel to the UK to interview the victim's family and co-workers as Ducky finds himself reflecting on the choices he made in the past and how they've affected his life while back in D.C., Gibbs, Tony and McGee continue investigating the murder.",Leslie Libman,Steven D. Binder
12,4,Choke Hold,"October 14, 2014.","While patrolling a park at night, two police officers come across a Naval research scientist sitting on a bench, the scientist having been garroted which eventually kills her. As such, the NCIS team are called in to investigate the circumstances surrounding the death although things quickly get complicated when SECNAV Sarah Porter later assigns the NCIS team to a joint terrorism task force with FBI agent Leia Pendergast as the leader of the task force. There's just one problem, though: the suspect that NCIS are searching for is also wanted by the Russian government led by someone well known to the team.",Terrence O'Hara,Christopher J. Waild
12,5,The San Dominick,"October 21, 2014.","During a joint Coast Guard and NCIS training exercise which is being conducted at sea, Gibbs and CGIS Agent Borin spot a dead man overboard who is later discovered to be a missing crew member from a ship sixty nautical miles away. Seeking answers, NCIS and CGIS launch a joint investigation with Gibbs later arriving on the ship, the San Dominick and discovering that the ship itself has apparently been taken over by a group of pirates but all is not what it seems.",Arvin Brown,Christopher Silber
12,6,Parental Guidance Suggested,"October 28, 2014.","The NCIS team must determine if the murder of a Navy commander's wife is linked to her profession as a therapist or an act of terrorism after finding the commander's name on a Jihadist target list, only to get a shock when they discover who the true killer really is while the team discusses Halloween costumes and Tony's recent dating habits.",Thomas J. Wright,Jennifer Corbett
12,7,The Searchers,"November 11, 2014.","After investigating the murder of a retired Master Sergeant, the NCIS team uncovers a fraudulent charity that preys on those searching for missing military personnel but when the main suspect flees to Vietnam, Gibbs and DiNozzo head to Vietnam in pursuit. As this happens, Bishop agonizes over the results of her probation evaluation while Tony contemplates adopting a stray cat that followed him home.",Tony Wharmby,Gina Lucita Monreal
12,8,Semper Fortis,"November 18, 2014.","The NCIS team investigate the cause of a hit and run accident that has left the driver, a Navy Petty Officer dead and two civilians who were passengers badly injured. As the team search for a possible motive, Gibbs attempts to find a way to ensure that a Navy Hospital Corpsman who treated the victims at the scene does not suffer any punishment despite the fact that the Corpsman illegally provided medical aid to the victims seconds after the crash while the team also discuss Abby's relationship with Park Police Sergeant Burt Moore which has hit the two month mark.",Dennis Smith,Matthew R. Jarrett & Scott J. Jarrett
12,9,Grounded,"November 25, 2014.","While weather worsens outdoors, DiNozzo, Bishop, and her husband, Jake are stuck at Dulles Airport working on a case involving a possible terrorist threat, only to discover twists and turns as the case turns out to be anything but ordinary with the NCIS team later finding themselves battling to stop a possible assassination attempt.",Bethany Rooney,Scott Williams
12,10,House Rules,"December 16, 2014.",The NCIS team consult with three cyber-terrorists they all had dealings with the past after a citywide Internet shutdown the week before Christmas while McGee reflects on the case and Gibbs's infamous rules as he writes a heartfelt letter to his father.,Terrence O'Hara,Christopher J. Waild
12,11,Check,"January 6, 2015.","The NCIS team investigate two crime scenes, both of which appear to be copycats of two previous cases while two of Gibbs's ex-wives show up at a crime scene to discuss something important with him. Tragedy later strikes when someone with a close connection to Gibbs is murdered by an old enemy.",Alrick Riley,Steven D. Binder
12,12,The Enemy Within,"January 13, 2015.","The NCIS team searches for a home-grown terrorist after a rescue mission in Syria reveals that an American was involved in the capture of a social worker, only to discover that things aren't what they appear to be with the team later racing to stop an attempted assassination while McGee and Bishop become suspicious of DiNozzo's unusual behavior.","James Whitmore, Jr",George Schenck & Frank Cardea
12,13,"We Build, We Fight","February 3, 2015.",The NCIS team investigate when a Navy Lieutenant who was set to be the first openly gay service member of the United States military to receive the Medal of Honor is murdered with the resulting investigation reuniting them with DOD agent Hollis Mann while Palmer prepares to become a father for the first time.,Rocky Carroll,Jennifer Corbett
12,14,Cadence,"February 10, 2015.","A Marine who was also a member of the Remington Military Academy, prompting the NCIS team to investigate. As this happens, DiNozzo finds himself remembering his day as a young teenage student at the Academy while Bishop and her husband, Jake, invite Gibbs and the team for a special dinner.",Tony Wharmby,Christopher Silber
12,15,Cabin Fever,"February 17, 2015.","As the NCIS team investigate an explosion that occurred at an upcoming terrorist summit that was scheduled to take place on a Navy ship and which also resulted in the death of a Navy Petty Officer, Gibbs chooses to sit out the resulting investigation, choosing instead to help grief-stricken FBI agent Tobias Fornell whose life is on the verge of imploding altogether as Fornell still struggles to come to terms with his ex-wife's brutal murder while an old enemy returns for a final showdown with both Gibbs and Fornell.",Bethany Rooney,Scott Williams
12,16,Blast from the Past,"February 24, 2015.",The NCIS team investigate when a covert identity created for one of Gibbs's undercover cases twenty years ago resurfaces after a murder victim is found to be living under the alias with the investigation eventually leading them to a group of Serbians operating illegally in the United States.,Dennis Smith,David J. North
12,17,The Artful Dodger,"March 10, 2015.","The NCIS team investigate the murder of a Navy Lieutenant while also attempting to discover the truth behind the theft of a painting which is later revealed to be a fake while DiNozzo Senior returns, ultimately assisting the team with the case.",Terrence O'Hara,Gina Lucita Monreal
12,18,Status Update,"March 24, 2015.","NCIS investigate when the body of a woman who is later revealed to be a criminal is discovered in the garage of a home of a Gunnery Sergeant with the United States Marine Corps with the NCIS team soon discovering that a possible connection to a terrorist group that the Department of Defense have been tracking, bringing the team back into contact with Delilah Fielding, McGee's girlfriend.",Holly Dale,Christopher J. Waild
12,19,Patience,"March 31, 2015.","The NCIS team investigate the murder of a Petty Officer and McGee soon discovers that the death is connected to a bombing that occurred at an airport forty years ago, one that Gibbs, DiNozzo and Vance have been secretly working on for the last two years.",Thomas J. Wright,Steven D. Binder
12,20,No Good Deed,"April 7, 2015.","The NCIS team investigate the murder of a Marine and soon discover that the murder weapon used in the killing was originally purchased for the controversial ATF sting operation ""Operation Fast and Furious"", prompting DiNozzo to be partnered with his girlfriend, ATF agent Zoe Keates, while DiNozzo Senior arrives in D.C. for a special dinner with both Tony and Zoe.",Arvin Brown,George Schenck & Frank Cardea
12,21,Lost in Translation,"April 14, 2015.","Following the murder of a Marine, the NCIS team investigate and soon discover that the killing in question is linked to a terrorist group in Afghanistan who are holding another Marine hostage overseas, prompting Gibbs and Bishop to head to Afghanistan to save the captured Marine before it's too late while Tony is stunned when he learns that McGee is the new face of NCIS's recruitment brochures.",Tony Wharmby,Jennifer Corbett
12,22,Troll,"April 28, 2015.","The NCIS team investigate the death of a Navy Ensign who worked in the Office of Naval Intelligence and soon discover that something much bigger is on the horizon, leading them to reunite with Ned Dorneget who is now working for the NCIS Cyber Operations Division with Dorneget returning to help with the case while the team discover that Jake and Gibbs have become good friends.",Dennis Smith,Scott Williams
12,23,The Lost Boys,"May 5, 2015.","In the aftermath of the previous episode, the NCIS team continue to find associates of the international terrorist group, the Calling with the team discovering that the Calling are not only recruiting young children and teenagers through the Internet but that the group itself is also purchasing S-bombs off the black market. As such, the case turns into a global effort, bringing NCIS into contact with various federal agencies all over the world while NCIS itself later suffers a huge tragedy when one of their own is killed in a blast while Gibbs, having been left haunted by his failure to help Bradley Simek attempts to help Luke Harris, a young, vulnerable teenager from falling victim to the Calling.","James Whitmore, Jr",Gina Lucita Monreal
12,24,Neverland,"May 12, 2015.","Following the death of an NCIS agent close to them, the main NCIS team continue investigating the Calling, the terrorist group who have been secretly and knowingly recruiting young children and teenagers via the Internet and as the search for the group's leader as well as members associated with the group itself grows, stretching across the world, NCIS soon finds itself facing more potential tragedy when one of their own is attacked by an unexpected figure.",Tony Wharmby,Gary Glasberg
13,1,Stop the Bleeding,"September 22, 2015.","In the aftermath of being shot in the previous episode, Gibbs finds himself fighting for his life and drifting between life and death as he's treated on board the medical ward of the Navy ship the U.S.S. Daniel Webster. DiNozzo and CIA officer Joanna Teague, who is the mother of deceased NCIS Special Agent Ned Dorneget, travel to Shanghai, China to take down the structure of the Calling once and for all, while everyone tries to come to terms with Gibbs being shot.",Tony Wharmby,Gary Glasberg & Scott Williams
13,2,Personal Day,"September 29, 2015.","The NCIS team investigate the murder of a Marine Sergeant, which is later revealed to be connected to a cold case concerning a notorious drug dealer. Tony soon discovers that Gibbs and DEA agent Luis Mitchell share a tragic past while Gibbs's new appearance has the team intrigued.",Terrence O'Hara,Gina Lucita Monreal
13,3,Incognito,"October 6, 2015.","A Marine calls Gibbs to discuss a possible case but the Marine is found murdered in Quantico hours later, prompting the NCIS team to investigate. McGee and Bishop go undercover as a married couple to run surveillance on a Marine Lieutenant and his wife, only for the NCIS team to discover that the couple are not who they appear to be.","James Whitmore, Jr",George Schenck & Frank Cardea
13,4,Double Trouble,"October 13, 2015.","The NCIS team investigate the murder of a Navy Seaman Apprentice and discover that it's connected to a disgraced former NCIS Special Agent who was jailed for stealing. With new aspects of the case having emerged, Vance, who was responsible for arresting the disgraced agent, returns to the field and partners with Gibbs to solve the case once and for all.",Dennis Smith,Christopher J. Waild
13,5,Lockdown,"October 20, 2015.","To help her NCIS colleagues with a murder case concerning a Navy Captain, Abby visits a pharmaceutical lab but soon finds herself trapped and without any communications to the outside world after mysterious armed men invade the building, triggering a hostage situation. It now falls to Abby to find a way to end the crisis before it's too late but all is not what it seems.",Bethany Rooney,Steven D. Binder
13,6,Viral,"October 27, 2015.",The NCIS team investigate when the murder of a Navy Petty officer is revealed to match the M.O. that a local serial killer called the Tri-State Sniper is using and it falls to the team to discover if this is the serial killer's latest victim or if it's a copycat killing. McGee and Delilah must learn to compromise before moving in together and potential tragedy lies in store for Bishop.,Rocky Carroll,Jennifer Corbett
13,7,16 Years,"November 3, 2015.","As the NCIS team investigate the murder of a retired Navy Lieutenant which occurred in a forest, they soon learn that Ducky is a member of a secret society dedicated to solving cold cases while Abby is left extremely guilt-ridden after learning that she may have been responsible for putting an innocent man in jail for sixteen years when the team discover that she was the one who conducted the test that led to the man's imprisonment in the first place.",Mark Horowitz,Brendan Fehily
13,8,Saviors,"November 10, 2015.","When insurgents in Sudan attack a group of volunteer doctors, abducting two and leaving five dead, DiNozzo and McGee travel to Sudan to investigate the crime scene and tackle the joint murder and kidnapping case, while Gibbs, Bishop, Ducky, Abby and Palmer work the case from Washington D.C. DiNozzo is reunited with his ex-girlfriend Jeanne Benoit as they attempt to rescue the missing doctors, while attempting to get to the bottom of what happened.",Tony Wharmby,Scott Williams
13,9,Day in Court,"November 17, 2015.","After a Petty Officer's case is dismissed due to a mishandled warrant, the Petty Officer volunteers to be court-martialed on the condition that NCIS agree to conduct their own investigation into the dismissed case. Bishop and Jake discuss their martial problems, with Jake revealing a secret that ultimately threatens to destroy their marriage forever.",Dennis Smith,George Schenck & Frank Cardea
13,10,Blood Brothers,"November 24, 2015.","When his two Marine siblings are killed in the line of duty, the team is tasked to help a sailor battling leukemia locate a potential bone marrow transplant before it's too late. In the aftermath of events in the previous episode, Bishop returns home to Oklahoma to spend Thanksgiving with her family.",Arvin Brown,Jennifer Corbett
13,11,Spinning Wheel,"December 15, 2015.","When Ducky is attacked by a man claiming to have information on his half-brother who supposedly died decades ago, the NCIS team investigate as they seek to find the man responsible for Ducky's abduction and solve the murder of a Marine Private. Ducky remembers the final emotional days he had with his half-brother while, with Christmas approaching, Bishop and Jake reunite to discuss the future of their relationship.",Terrence O'Hara,Steven D. Binder
