name,actor,role,cast,episode_key
Beach Bartender,Armah David,Uncredited role.,Guest_Cast,10x17
Taxi Driver,Victor Taylor,Uncredited role.,Guest_Cast,10x17
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x17
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x17
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x17
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x17
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x17
James Palmer,Brian Dietzen,"Medical Examiner Assistant. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,10x17
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x17
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x17
Ruby Lemere,Kelli Barrett,A woman who is the wife of Marine Sergeant Ted Lemere.,Guest_Cast,10x18
Ted Lemere,Michael Grant Terry,The murder victim and a Sergeant in the United States Marine Corps as well as the husband of Ruby Lemere.,Guest_Cast,10x18
Dale Martens,Sterling Jones,Captain in the United States Marine Corps.,Guest_Cast,10x18
David Ryan,Aaron Jaeger,Corporal in the United States Marine Corps.,Guest_Cast,10x18
James Virgil,Billy Smith,A man who appears in the episode.,Guest_Cast,10x18
Chet Tyber,Michael Wiseman,A man who appears in the episode.,Guest_Cast,10x18
Norman Pittorino,Graham Beckel,Marty Hagen's uncle.,Guest_Cast,10x18
Marty Hagen,Rod Keller,Norman Pittorino's nephew.,Guest_Cast,10x18
Lara Morgan,Linara Washington,A woman who appears in the episode.,Guest_Cast,10x18
Sandy,Sarah Hagan,A woman who appears in the episode.,Guest_Cast,10x18
Woman,Carole Gutierrez,A woman who appears in the episode.,Guest_Cast,10x18
Maria,Lucy Davenport,A woman who appears in the episode.,Guest_Cast,10x18
Afghan Mother,Lee Broda,A woman who appears in the episode.,Guest_Cast,10x18
Afghan Boy 1,Noble Tabibian,A boy who appears in the episode.,Guest_Cast,10x18
Afghan Boy 2,Miles Mendelsohn,A boy who appears in the episode.,Guest_Cast,10x18
Vance's Assistant,Brittany-Elle Benson,Uncredited role.,Guest_Cast,10x18
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x18
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x18
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x18
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x18
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x18
James Palmer,Brian Dietzen,"Medical Examiner Assistant. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,10x18
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x18
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x18
Stanley Burley,Joel Gretsch,"NCIS Special Agent trained by Gibbs, he is believed by many to have been DiNozzo's predecessor on the MCRT. This is Gretsch's second reappearance in the series since his debut appearance in High Seas (episode) nearly ten years ago.",Recurring_Cast,10x19
John McGee,Jamey Sheridan,NCIS Special Agent Timothy McGee's estranged father and an Admiral in the United States Navy.,Guest_Cast,10x19
Carlton Mane,Reggie Austin,Lieutenant in the United States Navy and Admiral John McGee's aide.,Guest_Cast,10x19
Daniel Graves,Russell Sams,Petty Officer Second Class in the United States Navy.,Guest_Cast,10x19
Kevin Wyeth,Zane Holtz,Petty Officer Third Class in the United States Navy.,Guest_Cast,10x19
Peter Vandevere,Cooper Thornton,Captain in the United States Navy.,Guest_Cast,10x19
Eric Landis,Jesse Carere,Seaman in the United States Navy.,Guest_Cast,10x19
Mark Forrest,Fernando Rivera,Seaman in the United States Navy.,Guest_Cast,10x19
Brian Haber,Scott Tracy Griffin,The U.S.S. Borealis's ship doctor and also the main murder victim as well as a Commander in the United States Navy.,Guest_Cast,10x19
LeBron,Ser'Darius Blain,A man who appears in the episode.,Guest_Cast,10x19
Adam Tepper,Braxton Beckham,A young boy who is friends with McGee.,Guest_Cast,10x19
Josh Rosen,Josh Rubenstein,WJGZ Meteorologist.,Guest_Cast,10x19
Chelsea Mills,Jackie Johnson,ZNN Meteorologist.,Guest_Cast,10x19
EMT,Luke White,A man who appears in the episode.,Guest_Cast,10x19
Admiral McGee's Driver,Brenden Whitney,Cameo or Minor Role,Guest_Cast,10x19
Basketball Player,James Crosby,Uncredited role.,Guest_Cast,10x19
Burley's Fiancée,Kristina Hess,Uncredited role.,Guest_Cast,10x19
DC Guy on Bike,Sean L. Malin,Uncredited role.,Guest_Cast,10x19
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x19
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x19
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x19
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x19
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x19
James Palmer,Brian Dietzen,Medical Examiner Assistant.,Series_Regulars,10x19
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x19
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x19
Thomas Morrow,Alan Dale,Homeland Senior Division Chief and former Director of NCIS.,Recurring_Cast,10x20
Callie Daniels,Sophina Brown,Lieutenant in the United States Naval Reserve.,Guest_Cast,10x20
Noah Daniels,Rupert Reid,Callie Daniels's husband.,Guest_Cast,10x20
Ben,Brian Leckner,A man who appears in the episode.,Guest_Cast,10x20
Landers Orton,Arron Shriver,A man who appears in the episode.,Guest_Cast,10x20
Rebecca Chidis,Lourdes Benedicto,A woman who appears in the episode.,Guest_Cast,10x20
CGIS Agent,Dean Wayne,Uncredited role.,Guest_Cast,10x20
Darryl Orton,Kyle Kaminsky,Uncredited role.,Guest_Cast,10x20
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x20
Anthony DiNozzo,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x20
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x20
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x20
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x20
James Palmer,Brian Dietzen,Medical Examiner Assistant.,Series_Regulars,10x20
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x20
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x20
Thomas Morrow,Alan Dale,Homeland Senior Division Chief and former Director of NCIS.,Recurring_Cast,10x21
Young Ziva David,Gabi Coccio,Ziva aged thirteen.,Recurring_Cast,10x21
Young Eli David,Ben Morrison,Eli as a young man.,Recurring_Cast,10x21
Ilan Bodnar,Oded Fehr,Former Deputy Director of Mossad.,Recurring_Cast,10x21
Orli Elbaz,Marina Sirtis,Appointed Director of Mossad following Director David's death and Director Bodnar's flight.,Guest_Cast,10x21
Yaniv Bodnar,Iddo Goldberg,Ilan's brother.,Guest_Cast,10x21
Adam Eshel,Damon Dayoub,Ziva's Mossad contact.,Guest_Cast,10x21
Rivka David,Weronika Rosati,Ziva's mother.,Guest_Cast,10x21
Amir Mantel,Dove Meir,Murder victim.,Guest_Cast,10x21
Edward Kraus,Willem van der Vegt,A man who appears in the episode.,Guest_Cast,10x21
Berlin Club Patron 1,Gerren Hall,Uncredited role.,Guest_Cast,10x21
Berlin Club Patron 2,Lee Troutman,Uncredited role.,Guest_Cast,10x21
Unnamed Sailor,Alan Weinreb,Uncredited role.,Guest_Cast,10x21
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x21
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x21
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x21
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x21
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x21
James Palmer,Brian Dietzen,Medical Examiner Assistant.,Series_Regulars,10x21
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x21
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x21
Thomas Morrow,Alan Dale,Homeland Senior Division Chief and former Director of NCIS.,Recurring_Cast,10x22
Ilan Bodnar,Oded Fehr,Former Deputy Director of Mossad.,Recurring_Cast,10x22
Madison Fielding,Maxwell Caulfield,Doctor and Surgeon.,Guest_Cast,10x22
Mrs. Gillis,Stephanie Childers,A woman who appears in the episode.,Guest_Cast,10x22
Nurse,Lyn Alicia Henderson,A Nurse.,Guest_Cast,10x22
Ship Captain,Cliff Simon,A man who appears in the episode.,Guest_Cast,10x22
Jessica,Sofia Mattsson,A woman who appears in the episode.,Guest_Cast,10x22
Teenage Girl,Ashlee Füss,A girl who appears in the episode.,Guest_Cast,10x22
Clive Goddard,Branden Cook,Mercenary. Uncredited role.,Guest_Cast,10x22
Dock Worker,Jonathan Davila,Uncredited role.,Guest_Cast,10x22
Carl Miller,Billy House,Uncredited role.,Guest_Cast,10x22
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x22
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x22
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x22
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x22
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x22
James Palmer,Brian Dietzen,Medical Examiner Assistant.,Series_Regulars,10x22
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x22
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x22
Richard Parsons,Colin Hanks,A Department of Defense agent.,Guest_Cast,10x23
Evan Lowry,Sean Marquette,Petty Officer Third Class in the United States Navy.,Guest_Cast,10x23
Stella Brooks,Catherine Kresge,Lance Corporal in the United States Marine Corps.,Guest_Cast,10x23
Female Soldier 1,Emily Dunham,A woman who appears in the episode.,Guest_Cast,10x23
Female Soldier 2,Jessie Graff,A woman who appears in the episode.,Guest_Cast,10x23
Hale,Meeghan Holaway,A Doctor.,Guest_Cast,10x23
Simon Gravy,Frederick Koehler,A man who appears in the episode.,Guest_Cast,10x23
Martin Archer,Neil Brown Jr.,A man who appears in the episode.,Guest_Cast,10x23
Ray Kessel,Alain Uy,A man who appears in the episode.,Guest_Cast,10x23
Navy Personnel,Lexi Pearl,A woman who appears in the episode.,Guest_Cast,10x23
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x23
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,10x23
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x23
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,10x23
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x23
James Palmer,Brian Dietzen,Medical Examiner Assistant.,Series_Regulars,10x23
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x23
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x23
A.J. Chegwidden,John M. Jackson,Former Judge Advocate General USN and Gibbs's legal counsel.,Recurring_Cast,10x24
Tobias Fornell,Joe Spano,Senior Supervisory Agent with the FBI. Uncredited role.,Recurring_Cast,10x24
Michael Franks,Muse Watson,"Former NIS/NCIS Agent who trained Gibbs to become an NCIS Special Agent. Died in the Season 8 episode, ""Swan Song"" after being stabbed by Lieutenant Jonas Cobb and as such, Franks appears as a hallucination or rather as ""Ghost Mike"".",Recurring_Cast,10x24
Richard Parsons,Colin Hanks,Investigator in the Inspector General's Office of the Department of Defense.,Recurring_Cast,10x24
Thomas Morrow,Alan Dale,DHS Senior Division Chief.,Recurring_Cast,10x24
Maddox,Natalia Nogulich,Judge.,Guest_Cast,10x24
Emily McBride,Nicole DuPort,Chad McBride's wife.,Guest_Cast,10x24
Dominick Wayne,Allan Louis,Captain in the United States Navy.,Guest_Cast,10x24
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,10x24
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team. Later resigns from the team to protect Gibbs.,Series_Regulars,10x24
Ziva David,Cote de Pablo,Junior Special Agent of the NCIS Major Case Response Team. Later resigns from the team to protect Gibbs.,Series_Regulars,10x24
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team. Later resigns from the team to protect Gibbs.,Series_Regulars,10x24
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,10x24
James Palmer,Brian Dietzen,Medical Examiner Assistant.,Series_Regulars,10x24
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,10x24
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,10x24
Thomas Morrow,Alan Dale,"Senior Division Chief, Department of Homeland Security who was also once Director of NCIS. Is left badly injured in a hotel bomb that kills SECNAV Clayton Jarvis.",Recurring_Cast,11x1
Tobias Fornell,Joe Spano,Senior Supervisory Agent with the FBI.,Recurring_Cast,11x1
Clayton Jarvis,Matt Craven,Secretary of the Navy of the United States who later dies in a hotel bomb. Final appearance.,Recurring_Cast,11x1
Young Ziva David,Gabi Coccio,Ziva as a young thirteen year old girl.,Recurring_Cast,11x1
Young Eli David,Ben Morrison,"Eli as a young man, possibly in his thirties.",Recurring_Cast,11x1
Adam Eshel,Damon Dayoub,A friend of Ziva's.,Recurring_Cast,11x1
Richard Parsons,Colin Hanks,Investigator in the Inspector General's Office of the Department of Defense.,Recurring_Cast,11x1
Dominick Wayne,Allan Louis,A Captain in the United States Navy.,Recurring_Cast,11x1
Tomás Mendez,Costas Mandylor,A businessman.,Guest_Cast,11x1
Delilah Fielding,Margo Harshman,Department of Defense employee who is also McGee's girlfriend.,Guest_Cast,11x1
Victor Cheng,Ivan Shaw,An intruder caught exploring the NCIS morgue. Is later subdued by Ducky and interrogated by Vance.,Guest_Cast,11x1
Eric Kagen,Jared Ward,Lieutenant in the United States Navy.,Guest_Cast,11x1
Murray Hines,Will Harris,NCIS Special Agent.,Guest_Cast,11x1
Iranian Man,Alex Lorre,A man who appears in the episode. Voice only.,Guest_Cast,11x1
Basket Woman,Shirin S. Neshat,A woman who appears in the episode.,Guest_Cast,11x1
Dinner Party Guard,Austin Priester,Uncredited role.,Guest_Cast,11x1
Lynette Wayne,Jackie Di Crystal,Navy Captain Dominick Wayne's wife. Uncredited role.,Guest_Cast,11x1
Benham Parsa,Karan Oberoi,"A terrorist and leader of the Brotherhood of Doubt, a terrorist cell targeting Gibbs and the main NCIS team. Uncredited role.",Guest_Cast,11x1
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x1
Anthony DiNozzo Junior,Michael Weatherly,"Senior Special Agent and second-in-command of the NCIS Major Case Response Team who is now a civilian, having resigned in the last few seconds of the Season 10 finale, Damned If You Do (episode). Eventually regains his badge and returns to the agency, officially rejoining Gibbs's team.",Series_Regulars,11x1
Ziva David,Cote de Pablo,"Junior Special Agent of the NCIS Major Case Response Team who is now a civilian, having resigned in the last few seconds of the Season 10 finale, Damned If You Do (episode). Later goes into hiding after discovering that she and her former NCIS colleagues/friends are targets of a shadowy militia group called the Brotherhood of Doubt.",Series_Regulars,11x1
Timothy McGee,Sean Murray,"Special Agent of the NCIS Major Case Response Team who is now a civilian, having resigned in the last few seconds of the Season 10 finale, Damned If You Do (episode). Eventually regains his badge and returns to the agency, officially rejoining Gibbs's team.",Series_Regulars,11x1
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,11x1
James Palmer,Brian Dietzen,Assistant Medical Examiner.,Series_Regulars,11x1
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x1
Donald Mallard,David McCallum,Chief Medical Examiner of the NCIS Major Case Response Team.,Series_Regulars,11x1
Tobias Fornell,Joe Spano,Senior Supervisory Agent with the FBI.,Recurring_Cast,11x2
Orli Elbaz,Marina Sirtis,Director of Mossad.,Recurring_Cast,11x2
Young Ziva David,Gabi Coccio,Ziva as a young thirteen year old girl.,Recurring_Cast,11x2
Adam Eshel,Damon Dayoub,A friend of Ziva's.,Recurring_Cast,11x2
Dominick Wayne,Allan Louis,Captain in the United States Navy.,Recurring_Cast,11x2
Tomás Mendez,Costas Mandylor,A man under protective custody who was later revealed to be working for the terrorist cell targeting Gibbs and his team. Later dies after Gibbs shoots him with a sniper rifle.,Recurring_Cast,11x2
Sarah Porter,Leslie Hope,"A female politician who is also the newly appointed Secretary of the Navy, succeeding Clayton Jarvis who died in an explosion in the previous episode.",Guest_Cast,11x2
Vernon Dale,Omar J. Dorsey,A man who appears in the episode.,Guest_Cast,11x2
Deena Bashan,Lena Georgas,A Doctor and also a childhood friend of Ziva David.,Guest_Cast,11x2
Henry Coldwell,Keenan Henson,A man who appears in the episode.,Guest_Cast,11x2
Young Woman,Nell Teare,A woman who appears in the episode.,Guest_Cast,11x2
Waitress,Brenda Vivian,A woman who appears in the episode.,Guest_Cast,11x2
Thomas Reynolds,Jermaine Brantley,Uncredited role.,Guest_Cast,11x2
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x2
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-comand of the NCIS Major Case Response Team.,Series_Regulars,11x2
Ziva David,Cote de Pablo,"Former Junior Special Agent of the NCIS Major Case Response Team who resigned from the team in the last few seconds of the Season 10 finale episode, ""Damned If you Do"" and is now a civilian residing in Israel, having gone into hiding to avoid members of the Brotherhood of Doubt.",Series_Regulars,11x2
Timothy McGee,Sean Murray,Special Agent of the NCIS Major Case Response Team.,Series_Regulars,11x2
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist of the NCIS Major Case Response Team.,Series_Regulars,11x2
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x2
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x2
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x2
Wayne Hargrove,Robert Newman,"Navy Admiral who originally appeared in the Season 8 episode, ""A Man Walks Into a Bar"".",Recurring_Cast,11x3
Murray Hines,Will Harris,NCIS Special Agent.,Recurring_Cast,11x3
Stacy Bergin,Barbara Eve Harris,FAA Director.,Guest_Cast,11x3
Kip Logan,Jonathan Patrick Moore,Terence Keith's flight instructor.,Guest_Cast,11x3
Building Manager,Lou George,The main murder victim.,Guest_Cast,11x3
Courtney,Andrea Bordeaux,A young woman.,Guest_Cast,11x3
Vera Strickland,Roma Maffia,NCIS Special Agent and the final partner of Mike Franks prior to his retirement in the aftermath of the Khobar Towers bombing.,Guest_Cast,11x3
Mel Frazier,Scott Waara,A man who appears in the episode.,Guest_Cast,11x3
Dana Robbins,Teri Reeves,Lieutenant Junior Grade in the United States Navy.,Guest_Cast,11x3
Terence Keith,Tyler Wolfe,Lieutenant Junior Grade in the United States Navy.,Guest_Cast,11x3
Michael Laramie,Wolé Parks,Captain in the United States Navy and Lieutenant Junior Grade Terence Keith's Commanding Officer.,Guest_Cast,11x3
Larry Purcell,Wade Williams,A man who sold Lieutenant Keith 200 pounds of C4.,Guest_Cast,11x3
Owen Tamblin,Christian Gehring,Metro Police Officer.,Guest_Cast,11x3
Eugene Coyle,Hugo Armstrong,IG Special Agent.,Guest_Cast,11x3
Looky-Loo,Antonina Henderson,Uncredited role.,Guest_Cast,11x3
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x3
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x3
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x3
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x3
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x3
Leon Vance,Rocky Carroll,Director of NCIS.,Series_Regulars,11x3
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x3
Farshad Sarabi,Alexander Wraith,A man who appears in the episode.,Guest_Cast,11x4
Roland Pulvino,Fred Cross,A man who appears in the episode.,Guest_Cast,11x4
Catherine Tavier,Lolita Davidovich,A woman who appears in the episode.,Guest_Cast,11x4
United Nations Soldier,Paul Hodge,A man who appears in the episode.,Guest_Cast,11x4
Thomas Gorman,Ramon de Ocampo,Navy Lieutenant.,Guest_Cast,11x4
Afghan Local Leader,Ben Maccabee,A man who appears in the episode.,Guest_Cast,11x4
Halia,Jasmine Di Angelo,A woman who appears in the episode.,Guest_Cast,11x4
Elina,Nikka Far,A woman who appears in the episode.,Guest_Cast,11x4
Mor,Paris Benjamin,A woman who appears in the episode.,Guest_Cast,11x4
Stoic Afghan Girl,Shani Atias,A girl who appears in the episode.,Guest_Cast,11x4
Dossier Woman 1,Sarah Fasha,Uncredited role.,Guest_Cast,11x4
Dossier Woman 2,Naomi Cohen,Uncredited role.,Guest_Cast,11x4
Naval Officer,Marianne Bourg,Uncredited role.,Guest_Cast,11x4
Nadira,Nena Za,Uncredited role.,Guest_Cast,11x4
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x4
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x4
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x4
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x4
James Palmer,Brian Dietzen,Assistant Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x4
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x4
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x4
Delilah Fielding,Margo Harshman,Department of Defense Employee and McGee's girlfriend.,Recurring_Cast,11x5
George,Andrew Friedman,A man who is Martha's husband.,Guest_Cast,11x5
Martha,Sherri Parker Lee,A woman who is George's wife.,Guest_Cast,11x5
Anton Markin,Augustus Prew,A man who is also Marie Markin's brother.,Guest_Cast,11x5
Marie Markin,Susan Spano,A woman who is also Anton Markin's sister.,Guest_Cast,11x5
Jake Spoke,Mac Brandt,A man who appears in the episode.,Guest_Cast,11x5
Milo Rankoff,Patrick Mulvey,The killer.,Guest_Cast,11x5
Amy Linden,Samantha Quan,A woman who appears in the episode.,Guest_Cast,11x5
Andrew Wells,Wes McGee,Petty Officer First Class in the United States Navy and also the murder victim.,Guest_Cast,11x5
Randy Hollister,Jake Thomas Armbruster,Staff Sergeant in the United States Marine Corps.,Guest_Cast,11x5
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x5
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x5
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x5
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x5
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x5
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x5
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x5
Abigail Borin,Diane Neal,CGIS Special Agent.,Recurring_Cast,11x6
Sarah Porter,Leslie Hope,The new SecNav who replaced Clayton Jarvis who was killed in a hotel bombing.,Recurring_Cast,11x6
Paige Hebner,Fay Masterson,The wife/widow of Marine Major Marvin Hebner.,Guest_Cast,11x6
Marvin Hebner,Brent Huff,"Major in the Marine Reserves, the husband of Paige Hebner and also the main murder victim.",Guest_Cast,11x6
Danielle Benton,Chelsea Harris,A woman who appears in the episode.,Guest_Cast,11x6
Perry Davidson,Jon Lindstrom,A man who appears in the episode.,Guest_Cast,11x6
Dennis Latrobe,Michael Buonomo,Coast Guard Petty Officer Third Class.,Guest_Cast,11x6
Captain,Peter Downing,A man who appears in the episode.,Guest_Cast,11x6
Lenny Machaca,Rick Gonzalez,A man who appears in the episode.,Guest_Cast,11x6
Jonah McGuire,Rodney Rowland,Operations Officer.,Guest_Cast,11x6
Brett Creevy,William Ragsdale,A man who appears in the episode.,Guest_Cast,11x6
Leroy Jethro Gibbs,Mark Harmon,Special Agent in charge of the NCIS Major Case Response Team.,Series_Regulars,11x6
Anthony DiNozzo Junior,Michael Weatherly,Senior Special Agent and second-in-command of the NCIS Major Case Response Team.,Series_Regulars,11x6
Timothy McGee,Sean Murray,Special Agent for the the NCIS Major Case Response Team.,Series_Regulars,11x6
Abigail Sciuto,Pauley Perrette,Chief Forensic Specialist for the NCIS Major Case Response Team.,Series_Regulars,11x6
James Palmer,Brian Dietzen,"Assistant Medical Examiner for the NCIS Major Case Response Team. Despite being credited, Dietzen does not appear in this episode.",Series_Regulars,11x6
Leon Vance,Rocky Carroll,"Director of NCIS. Despite being credited, Carroll does not appear in this episode.",Series_Regulars,11x6
Donald Mallard,David McCallum,Chief Medical Examiner for the NCIS Major Case Response Team.,Series_Regulars,11x6
Elaine,Connie Jackson,The Waitress at the diner where Gibbs gets his morning coffee.,Recurring_Cast,11x7
Jackson Gibbs,Ralph Waite,Gibbs's father.,Recurring_Cast,11x7
Karen Fox,Caryn West,DCS Department Head.,Guest_Cast,11x7
Asabe Dawson,Jocelyn Ayanna,A woman who appears in the episode.,Guest_Cast,11x7
Aaron Connolly,Josh Emerson,A man who appears in the episode.,Guest_Cast,11x7
Sebastian Kim,Kelvin Yu,The head of a clothing store who also was a drug smuggler.,Guest_Cast,11x7
